Player ID: 2516, rank: 24, skill: 25, winrate: 0.12, luck: 0.00021288552452211203
Player ID: 2527, rank: 23, skill: 25, winrate: 0.2, luck: 0.009875096113153943
Player ID: 2506, rank: 23, skill: 25, winrate: 0.2, luck: 0.0033126474947858375
Player ID: 2529, rank: 23, skill: 25, winrate: 0.2, luck: 0.011656935623844553
Player ID: 2528, rank: 23, skill: 25, winrate: 0.2, luck: 0.004193080000101058
Player ID: 2523, rank: 23, skill: 25, winrate: 0.2, luck: 0.00204675614033594
Player ID: 2539, rank: 23, skill: 25, winrate: 0.16, luck: 0.004890442905954868
Player ID: 2559, rank: 23, skill: 25, winrate: 0.2, luck: 0.0012422860053552278
Player ID: 2525, rank: 23, skill: 25, winrate: 0.16, luck: 0.0014096026941470099
Player ID: 2534, rank: 23, skill: 25, winrate: 0.2, luck: 0.0013978102705832034
Player ID: 2407, rank: 22, skill: 24, winrate: 0.2, luck: 0.030377400666147917
Player ID: 2562, rank: 22, skill: 25, winrate: 0.24, luck: 0.012759593266748508
Player ID: 2577, rank: 22, skill: 25, winrate: 0.2, luck: 0.1523277007529279
Player ID: 2537, rank: 22, skill: 25, winrate: 0.28, luck: 0.02673371045606101
Player ID: 2473, rank: 22, skill: 24, winrate: 0.24, luck: 0.00028571771804519324
Player ID: 2569, rank: 22, skill: 25, winrate: 0.28, luck: 0.09797062046116913
Player ID: 2598, rank: 22, skill: 25, winrate: 0.24, luck: 0.08310613345337642
Player ID: 2582, rank: 22, skill: 25, winrate: 0.24, luck: 0.15115111589140737
Player ID: 2584, rank: 22, skill: 25, winrate: 0.28, luck: 0.5511597104112069
Player ID: 2439, rank: 22, skill: 24, winrate: 0.28, luck: 0.03621548389696646
Player ID: 2448, rank: 22, skill: 24, winrate: 0.24, luck: 0.013633077994032032
Player ID: 2501, rank: 22, skill: 25, winrate: 0.24, luck: 0.0322528046552922
Player ID: 2514, rank: 22, skill: 25, winrate: 0.28, luck: 0.28417585844501897
Player ID: 2450, rank: 22, skill: 24, winrate: 0.24, luck: 0.0008968208033479752
Player ID: 2543, rank: 22, skill: 25, winrate: 0.28, luck: 0.346810894705692
Player ID: 2423, rank: 22, skill: 24, winrate: 0.24, luck: 0.004024366157328479
Player ID: 2508, rank: 22, skill: 25, winrate: 0.24, luck: 0.016832852411292825
Player ID: 2492, rank: 22, skill: 24, winrate: 0.24, luck: 0.0022224863054720804
Player ID: 2520, rank: 22, skill: 25, winrate: 0.24, luck: 0.02025688865586011
Player ID: 2586, rank: 22, skill: 25, winrate: 0.24, luck: 0.07976542490019098
Player ID: 2532, rank: 22, skill: 25, winrate: 0.24, luck: 0.0038514893246497403
Player ID: 2596, rank: 22, skill: 25, winrate: 0.28, luck: 0.014156482089728212
Player ID: 2535, rank: 22, skill: 25, winrate: 0.28, luck: 0.4427795037745638
Player ID: 2422, rank: 22, skill: 24, winrate: 0.24, luck: 0.0003559444190340067
Player ID: 2557, rank: 22, skill: 25, winrate: 0.28, luck: 0.021021903552318543
Player ID: 2526, rank: 22, skill: 25, winrate: 0.24, luck: 0.6480477014361531
Player ID: 2552, rank: 22, skill: 25, winrate: 0.24, luck: 0.014487131325935487
Player ID: 2587, rank: 22, skill: 25, winrate: 0.28, luck: 0.04509806753844303
Player ID: 2449, rank: 22, skill: 24, winrate: 0.28, luck: 0.0032240034919494742
Player ID: 2469, rank: 22, skill: 24, winrate: 0.24, luck: 0.001305795574086898
Player ID: 2483, rank: 22, skill: 24, winrate: 0.24, luck: 0.0005357656390304372
Player ID: 2477, rank: 22, skill: 24, winrate: 0.28, luck: 0.1681501979874055
Player ID: 2435, rank: 22, skill: 24, winrate: 0.24, luck: 0.009112280698814153
Player ID: 2512, rank: 22, skill: 25, winrate: 0.28, luck: 0.8742384861484899
Player ID: 2509, rank: 22, skill: 25, winrate: 0.24, luck: 0.029604104904819295
Player ID: 2404, rank: 22, skill: 24, winrate: 0.28, luck: 0.00014494327662345477
Player ID: 2437, rank: 22, skill: 24, winrate: 0.28, luck: 0.015783542115210394
Player ID: 2590, rank: 22, skill: 25, winrate: 0.24, luck: 0.2556689442791252
Player ID: 2585, rank: 22, skill: 25, winrate: 0.28, luck: 0.6998466413793447
Player ID: 2558, rank: 22, skill: 25, winrate: 0.28, luck: 0.3627623905671553
Player ID: 2474, rank: 22, skill: 24, winrate: 0.28, luck: 0.006372965446219311
Player ID: 2499, rank: 22, skill: 24, winrate: 0.28, luck: 0.09875789876046057
Player ID: 2540, rank: 22, skill: 25, winrate: 0.28, luck: 0.09090877390455501
Player ID: 2459, rank: 22, skill: 24, winrate: 0.24, luck: 0.0004504735115306997
Player ID: 2519, rank: 22, skill: 25, winrate: 0.24, luck: 0.03401033616270303
Player ID: 2556, rank: 22, skill: 25, winrate: 0.28, luck: 0.18528079238674866
Player ID: 2467, rank: 22, skill: 24, winrate: 0.28, luck: 0.03591711803780063
Player ID: 2574, rank: 22, skill: 25, winrate: 0.24, luck: 0.010428717845362931
Player ID: 2554, rank: 22, skill: 25, winrate: 0.24, luck: 0.005156684900764592
Player ID: 2411, rank: 22, skill: 24, winrate: 0.24, luck: 0.0006726541889948853
Player ID: 2464, rank: 22, skill: 24, winrate: 0.28, luck: 0.032641466609267235
Player ID: 2545, rank: 22, skill: 25, winrate: 0.28, luck: 0.20907778564996046
Player ID: 2593, rank: 22, skill: 25, winrate: 0.24, luck: 0.014181170277109465
Player ID: 2462, rank: 22, skill: 24, winrate: 0.24, luck: 0.0011744332691621309
Player ID: 2549, rank: 22, skill: 25, winrate: 0.24, luck: 0.0071798473137162176
Player ID: 2481, rank: 22, skill: 24, winrate: 0.28, luck: 0.20962264394600047
